索引,时间戳,交换机,平均包数,平均字节数,端口变化率,流表一致性检测,packet_in速率,传输容量,传输效率
31,1674913866.76,6,0.0422386364415,3.95933983011,6.00000001075,0,1.55231863519e-08,13374.6666667,1.0
31,1674913866.76,7,0.0702034711743,6.59279246794,1.19409125784e-08,0,1.01438052354e-05,16711.3333333,1.0
32,1674913871.79,1,0.00135368508784,0.0844258671212,2932.00000176,1,1.75949346317e-06,119554.666667,1.0
32,1674913871.79,2,0.000345317525289,0.0303754530989,2934.00000176,0,1.76486687381e-06,126084.0,1.0
32,1674913871.79,3,0.0464540151805,4.44157469678,2.00000000597,0,1.01497756613e-08,10077.3333333,1.0
32,1674913871.79,4,0.0470675121131,4.50169739617,2.00000000597,0,1.01497756613e-08,10137.3333333,1.0
32,1674913871.79,5,0.000388606537146,0.0344954663483,2936.00000176,0,1.76785210195e-06,127825.333333,1.0
32,1674913871.79,6,0.0414634324035,3.88664330989,6.00000001075,0,1.55231863055e-08,13374.6666667,1.0
32,1674913871.79,7,0.0702034711743,6.59279246794,1.19409125427e-08,0,1.28961855461e-05,16711.3333333,1.0
33,1674913877.12,1,0.00130708595311,0.0816193453624,5864.00000176,1,1.75949345784e-06,119554.666667,1.0
33,1674913877.12,2,0.000337833897373,0.0297573674514,5868.00000176,0,1.76486686847e-06,126084.0,1.0
33,1674913877.12,3,0.0456175140531,4.36157810578,4.00000000597,0,1.01497756306e-08,10077.3333333,1.0
33,1674913877.12,4,0.0462199236917,4.42061425036,4.00000000597,0,1.01497756306e-08,10137.3333333,1.0
33,1674913877.12,5,0.000380415149875,0.0338059383121,5872.00000176,0,1.76785209659e-06,127825.333333,1.0
33,1674913877.12,6,0.0407161706575,3.81656822444,12.0000000107,0,1.55231862585e-08,13374.6666667,1.0
33,1674913877.12,7,0.0702034711743,6.59279246794,1.19409125065e-08,0,1.45565693911e-05,16711.3333333,1.0
34,1674913883.39,1,0.00117327262762,0.0735443971282,5864.00000176,1,1.75949345232e-06,119554.666667,1.0
34,1674913883.39,2,0.000315732669812,0.0279217005605,5868.00000176,0,1.76486686293e-06,126084.0,1.0
34,1674913883.39,3,0.0430922166531,4.12021854324,4.00000000597,0,1.01497755987e-08,10077.3333333,1.0
34,1674913883.39,4,0.0436603984713,4.17590036142,4.00000000597,0,1.01497755987e-08,10137.3333333,1.0
34,1674913883.39,5,0.000355996542714,0.0317388187367,5872.00000176,0,1.76785209105e-06,127825.333333,1.0
34,1674913883.39,6,0.038440905687,3.60334569054,12.0000000107,0,1.55231862098e-08,13374.6666667,1.0
34,1674913883.39,7,0.0702034711743,6.59279246794,1015.00000001,0,1.92809913639e-05,16711.3333333,1.0
35,1674913889.16,1,0.00110540595941,0.0694235119481,2932.00000176,1,1.75949344574e-06,119554.666667,1.0
35,1674913889.16,2,0.000303292389049,0.0268724112629,2934.00000176,0,1.76486685633e-06,126084.0,1.0
35,1674913889.16,3,0.0416203916827,3.97933216316,2.00000000597,0,1.01497755608e-08,10077.3333333,1.0
35,1674913889.16,4,0.0421698422321,4.03317831701,2.00000000597,0,1.01497755608e-08,10137.3333333,1.0
35,1674913889.16,5,0.000342422663138,0.0305768242685,2936.00000176,0,1.76785208444e-06,127825.333333,1.0
35,1674913889.16,6,0.0371457867943,3.4817672242,6.00000001075,0,1.55231861518e-08,13374.6666667,1.0
35,1674913889.16,7,6.64562848546,1156.23414531,3510.00000061,0,2.55487762233e-05,192277.333333,8.00386962939
